country,Orig_ID,net_name.washes,comparison,species,n_total,n_dead_24h,n_dead_72h,nights_collect,n_total_PYRNET,n_dead_24h_PYRNET,n_dead_72h_PYRNET,nights_collect_PYRNET,Hut_type,plot_code,data_visible
Mbe_Cotedivoire,12,Interceptor G2,Interceptor,An. gambiae s.s.,305,264,278,36,255,49,59,36,West,0,1
Cove_Benin,40,Interceptor G2,Interceptor,An. gambiae s.l.,697,425,467,72,631,125,138,72,West,0,0
Cove_Benin,43,Interceptor G2,Interceptor,An. gambiae s.l.,251,137,185,54,175,20,45,54,West,0,1
LowerMoshi_Tanzania,55,Phantom SC + Fendona SC,alphacypermethrin,An. arabiensis,106,58,61,16,110,55,,16,East,0,1
Muheza_Tanzania,79,Interceptor G2,Interceptor,An. funestus,63,30,38,54,94,14,35,54,East,0,1
Muheza_Tanzania,79,Interceptor G2,Interceptor,An. gambiae s.s.,7,6,7,54,5,1,2,54,East,0,1
LowerMoshi_Tanzania,112,Interceptor G2,Interceptor,An. arabiensis,106,75,81,56,74,45,46,56,East,0,0
Muheza_Tanzania,114,Interceptor G2,Interceptor,An. funestus,103,31,55,36,80,10,13,36,East,0,1
Tengrela_BurkinaFaso,137,Interceptor G2,Interceptor,An. gambiae s.l.,574,96,108,41,548,150,,41,West,0,1
Tiefora_BurkinaFaso,138,Interceptor G2,Interceptor,An. gambiae s.l.,139,47,48,34,106,26,,34,West,0,1
